Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
256.25,4100,17.3,3.86,3.1,4.37,54.8,0.541,1.39,0.573,11
256.3125,4101,16.7,3.7,2.72,4.39,54.8,0.548,1.6,0.575,11
256.375,4102,15.5,3.79,2.94,4.23,54.6,0.554,1.57,0.58,10.9
256.4375,4103,14.9,3.7,2.98,4.27,54.6,0.551,1.38,0.574,11
256.5,4104,14.8,3.63,3.16,4.25,54.7,0.554,1.55,0.57,11
256.5625,4105,16.9,3.73,3.02,4.15,54.7,0.548,1.63,0.585,11
256.625,4106,15.9,3.8,2.88,4.33,54.5,0.546,1.54,0.574,10.9
256.6875,4107,15.4,3.64,2.91,4.26,54.6,0.537,1.64,0.565,10.9
256.75,4108,17.4,3.75,2.55,4.18,55.2,0.553,2.14,0.574,11
256.8125,4109,17.9,4.05,3.15,4.15,54.6,0.543,2.11,0.577,11.1
256.875,4110,17.1,3.77,3.69,4.16,54.6,0.533,1.55,0.581,11
256.9375,4111,17.4,3.74,3.56,4.49,54.8,0.548,1.56,0.572,11.1
257,4112,17.9,3.86,3.24,4.35,54.5,0.547,2.26,0.574,11
257.0625,4113,18.3,3.91,2.84,4.27,54.7,0.54,2.15,0.58,11
257.125,4114,18.7,4.15,2.5,4.37,54.6,0.542,1.72,0.573,11
257.1875,4115,16.7,3.94,2.57,4.26,54.7,0.544,1.89,0.585,11
257.25,4116,15.1,3.64,3.41,4.21,54.4,0.54,1.59,0.583,11
257.3125,4117,15.9,3.82,3.29,4.45,54.7,0.538,1.44,0.567,10.9
257.375,4118,15.7,3.94,2.9,4.29,54.7,0.543,1.55,0.57,11.1
257.4375,4119,15.8,3.83,2.98,4.05,54.6,0.554,1.62,0.572,11
257.5,4120,16.1,3.83,2.58,4.37,54.7,0.549,1.61,0.576,10.9
257.5625,4121,17.3,3.9,3.1,4.13,54.6,0.547,1.96,0.584,11
257.625,4122,16.9,3.9,2.96,4.29,54.8,0.536,2.04,0.584,11
257.6875,4123,17,3.87,3.24,4.34,54.7,0.533,1.8,0.572,10.9
257.75,4124,19.9,3.73,3.42,4.17,54.6,0.555,1.71,0.573,10.9
257.8125,4125,17.7,3.78,2.84,4.3,54.7,0.553,1.67,0.571,11
257.875,4126,14.7,3.91,2.87,4.12,54.9,0.547,1.66,0.574,11
257.9375,4127,15.4,3.81,2.69,3.97,54.7,0.531,1.66,0.588,11
258,4128,17.7,3.87,2.92,4.67,54.8,0.535,1.59,0.573,11.1
258.0625,4129,17.6,3.97,3.11,4.64,54.7,0.556,1.48,0.568,11
258.125,4130,16.3,3.97,2.97,4.1,54.8,0.545,1.59,0.576,10.8
258.1875,4131,16.8,3.74,3.21,4.33,54.6,0.533,1.46,0.575,10.9
258.25,4132,15.5,3.67,2.9,4.52,54.5,0.535,1.51,0.574,11
258.3125,4133,15.9,3.81,2.93,4.37,54.9,0.54,1.61,0.576,11
258.375,4134,16.7,3.83,3.59,4.35,54.7,0.55,1.32,0.575,10.9
258.4375,4135,14.8,3.92,3.17,4.17,54.8,0.535,1.31,0.577,11
258.5,4136,15.8,3.83,2.84,4.17,54.8,0.537,1.86,0.577,11
258.5625,4137,16.3,3.71,3.15,4.39,54.7,0.548,2.04,0.572,11
258.625,4138,15.5,3.88,3.46,4.09,54.9,0.543,1.74,0.572,11.1
258.6875,4139,15.1,3.92,3.38,4.12,54.8,0.548,1.87,0.579,10.9
258.75,4140,14.7,3.84,2.9,4.39,54.4,0.527,1.74,0.577,11
258.8125,4141,15.6,3.77,2.89,4.46,54.7,0.529,1.34,0.574,11
258.875,4142,19,3.79,3.25,4.33,54.6,0.554,1.84,0.575,10.8
258.9375,4143,18.6,3.86,3.53,3.97,54.4,0.555,1.84,0.573,10.9
259,4144,16.8,3.82,3.36,4.1,55,0.529,1.39,0.574,11
259.0625,4145,16.7,3.77,3.27,4.32,54.9,0.525,1.47,0.575,11
259.125,4146,18.5,3.81,3.24,4.24,54.6,0.561,1.59,0.572,11.1
259.1875,4147,19.9,3.89,2.69,4.38,54.7,0.567,1.53,0.576,11.1
259.25,4148,17.7,3.76,2.83,4.13,54.7,0.548,1.67,0.573,10.7
259.3125,4149,17.6,3.68,3.14,4.14,55,0.552,1.56,0.574,10.9
259.375,4150,18.6,3.95,2.79,4.38,54.6,0.537,1.43,0.575,11.2
259.4375,4151,16.6,3.88,2.97,4.17,54.4,0.528,1.64,0.573,11
259.5,4152,16.5,3.7,2.85,4.22,54.7,0.554,1.78,0.574,11
259.5625,4153,18,3.68,2.75,4.21,54.7,0.544,1.96,0.571,11
259.625,4154,17.9,3.84,3.24,4.01,54.7,0.537,1.88,0.582,10.7
259.6875,4155,18.2,3.99,3,4.31,54.7,0.546,1.55,0.578,10.9
259.75,4156,18.2,3.82,3.18,4.22,54.8,0.535,1.61,0.564,11
259.8125,4157,17.3,3.77,3.22,4.29,54.7,0.542,1.73,0.578,11
259.875,4158,18,3.77,3.28,4.62,54.9,0.554,1.76,0.582,11
259.9375,4159,19.4,3.68,3.66,4.26,54.6,0.544,1.76,0.574,10.9
260,4160,16.8,3.63,3.12,4.15,54.6,0.544,1.74,0.575,11
260.0625,4161,14.5,3.75,2.75,4.47,54.6,0.555,1.65,0.566,11
260.125,4162,17.9,3.85,2.66,4.34,54.5,0.555,1.51,0.569,11
260.1875,4163,21.4,3.94,2.84,3.99,54.8,0.549,1.59,0.577,11
260.25,4164,21.6,3.85,3.08,4.25,54.8,0.547,1.61,0.582,11
260.3125,4165,20,3.72,2.85,4.29,54.6,0.542,1.74,0.583,11
260.375,4166,18,3.87,2.45,4.32,54.4,0.549,1.7,0.572,11
260.4375,4167,17.2,3.92,3.04,4.3,54.6,0.555,1.91,0.566,11
260.5,4168,16.5,3.69,3.31,4.18,54.6,0.548,1.82,0.57,11
260.5625,4169,16,3.68,3.06,4.4,54.4,0.547,1.24,0.568,10.9
260.625,4170,16,3.8,2.92,4.36,54.6,0.554,1.46,0.593,10.9
