Sample,Time,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4
471,47,1848,1601,1865,1614,2092,1879,1999,2023,1751,1878
472,47.1,1855,1587,1866,1605,2084,1880,1994,2014,1763,1880
473,47.2,1863,1577,1866,1600,2090,1885,1993,2012,1764,1877
474,47.3,1868,1561,1870,1594,2091,1888,1991,2005,1761,1868
475,47.4,1874,1556,1874,1587,2086,1894,1993,2060,1750,1863
476,47.5,1880,1552,1889,1583,2089,1901,1995,2096,1742,1851
477,47.6,1887,1547,1901,1586,2088,1897,1995,2081,1737,1839
478,47.7,1886,1543,1915,1578,2085,1896,1995,2089,1720,1854
479,47.8,1883,1543,1926,1578,2089,1890,2001,2096,1710,1892
480,47.9,1882,1541,1935,1580,2091,1891,1996,2093,1712,1947
481,48,1881,1537,1941,1580,2086,1888,1990,2077,1699,1960
482,48.1,1879,1540,1944,1580,2091,1883,1993,2068,1695,1955
483,48.2,1871,1535,1945,1580,2094,1883,2002,2055,1694,1955
484,48.3,1865,1533,1939,1583,2092,1882,2011,2044,1686,1991
485,48.4,1859,1531,1933,1584,2087,1878,2026,2039,1678,2031
486,48.5,1847,1540,1915,1585,2090,1879,2038,2036,1655,2037
487,48.6,1838,1571,1904,1581,2085,1877,2045,2019,1638,2014
488,48.7,1832,1609,1892,1590,2084,1876,2053,2005,1625,1975
489,48.8,1833,1647,1884,1600,2089,1877,2065,1989,1606,1940
490,48.9,1830,1686,1875,1604,2082,1876,2065,1968,1596,1916
491,49,1829,1717,1874,1614,2088,1873,2068,1957,1584,1879
492,49.1,1830,1724,1868,1624,2089,1870,2074,1959,1579,1856
493,49.2,1827,1734,1872,1632,2080,1872,2078,1961,1578,1848
494,49.3,1822,1759,1868,1639,2084,1872,2078,1955,1576,1851
495,49.4,1822,1792,1870,1633,2090,1875,2067,1950,1580,1848
496,49.5,1830,1828,1869,1627,2081,1874,2052,1950,1579,1859
497,49.6,1842,1845,1870,1622,2083,1874,2040,1951,1583,1870
498,49.7,1847,1848,1870,1614,2095,1874,2027,1947,1590,1888
499,49.8,1844,1845,1870,1603,2081,1870,2015,1939,1587,1931
500,49.9,1846,1836,1870,1599,2085,1869,2001,1927,1588,1975
501,50,1846,1810,1871,1594,2088,1869,1995,1907,1590,2003
502,50.1,1844,1779,1871,1581,2080,1874,1997,1890,1595,2022
503,50.2,1851,1744,1875,1572,2086,1876,1999,1889,1591,2020
504,50.3,1855,1710,1886,1574,2091,1880,2000,1886,1592,2010
505,50.4,1866,1695,1904,1576,2082,1885,1996,1882,1591,2004
506,50.5,1872,1667,1909,1574,2082,1892,1996,1880,1595,1999
507,50.6,1879,1642,1922,1574,2096,1895,1994,1878,1597,1968
508,50.7,1875,1618,1931,1578,2086,1900,1991,1880,1596,1940
509,50.8,1867,1598,1937,1576,2090,1899,1987,1875,1599,1917
510,50.9,1864,1562,1941,1574,2095,1893,1988,1875,1602,1891
511,51,1860,1548,1945,1573,2085,1890,1993,1880,1604,1890
512,51.1,1869,1546,1941,1576,2090,1885,1995,1886,1609,1865
513,51.2,1887,1537,1926,1587,2097,1884,1997,1890,1633,1840
514,51.3,1913,1542,1920,1592,2082,1882,2001,1901,1662,1842
515,51.4,1927,1546,1905,1602,2091,1881,2017,1918,1694,1863
516,51.5,1933,1541,1890,1613,2095,1879,2029,1963,1726,1887
517,51.6,1928,1540,1886,1620,2086,1878,2037,2010,1742,1934
518,51.7,1926,1536,1880,1624,2094,1878,2044,2029,1728,1972
519,51.8,1925,1530,1877,1630,2099,1871,2055,2070,1718,2043
520,51.9,1918,1529,1873,1636,2087,1871,2056,2154,1713,2045
521,52,1916,1536,1868,1636,2094,1872,2066,2152,1696,1994
522,52.1,1911,1546,1864,1628,2098,1874,2075,2121,1682,1937
523,52.2,1901,1573,1864,1618,2086,1874,2076,2088,1666,1907
524,52.3,1884,1590,1862,1606,2090,1874,2078,2047,1661,1898
525,52.4,1872,1601,1864,1588,2098,1874,2070,2016,1661,1883
526,52.5,1869,1622,1865,1581,2094,1879,2054,2001,1659,1874
527,52.6,1865,1630,1867,1580,2095,1884,2044,1990,1656,1862
528,52.7,1862,1633,1863,1575,2101,1889,2033,1971,1654,1847
529,52.8,1857,1647,1864,1575,2091,1896,2021,1964,1655,1846
530,52.9,1848,1659,1867,1574,2093,1913,2015,1955,1659,1841
531,53,1848,1664,1868,1575,2103,1923,2010,1946,1659,1839
532,53.1,1839,1672,1869,1572,2092,1930,2001,1935,1661,1839
533,53.2,1837,1665,1872,1573,2099,1933,2008,1929,1655,1839
534,53.3,1838,1651,1875,1573,2104,1931,2005,1927,1651,1846
535,53.4,1841,1607,1889,1573,2093,1927,1998,1943,1652,1859
536,53.5,1840,1514,1898,1573,2096,1922,2000,1954,1647,1868
537,53.6,1841,1466,1912,1577,2103,1921,2001,1959,1641,1878
538,53.7,1843,1462,1924,1582,2094,1912,1995,1954,1638,1921
539,53.8,1834,1463,1935,1589,2100,1905,2007,1963,1632,1957
540,53.9,1830,1476,1943,1597,2107,1905,2013,1978,1625,1975
541,54,1827,1474,1945,1601,2088,1901,2005,1982,1626,1985
542,54.1,1830,1473,1941,1610,2091,1901,2014,1979,1624,1979
543,54.2,1839,1469,1933,1624,2102,1903,2014,1981,1620,1966
544,54.3,1848,1456,1921,1630,2093,1904,2001,1982,1616,1951
545,54.4,1867,1448,1908,1639,2096,1902,2019,1980,1616,1946
546,54.5,1883,1446,1895,1639,2104,1902,2025,1979,1616,1923
547,54.6,1903,1478,1885,1638,2094,1902,2028,1980,1615,1902
548,54.7,1910,1515,1881,1624,2090,1900,2038,1979,1613,1901
549,54.8,1910,1555,1875,1614,2102,1901,2046,1975,1613,1896
550,54.9,1913,1604,1872,1604,2091,1907,2052,1960,1607,1892
551,55,1922,1618,1873,1600,2098,1901,2056,1954,1606,1886
552,55.1,1930,1583,1871,1591,2103,1901,2059,1950,1601,1879
553,55.2,1933,1518,1867,1585,2090,1897,2063,1947,1599,1876
554,55.3,1927,1492,1865,1580,2093,1896,2064,1947,1597,1873
555,55.4,1909,1509,1865,1581,2108,1893,2062,1938,1596,1867
556,55.5,1899,1547,1865,1575,2087,1894,2053,1937,1594,1870
557,55.6,1891,1550,1866,1573,2096,1893,2039,1932,1596,1878
558,55.7,1880,1529,1866,1572,2104,1888,2029,1933,1599,1893
559,55.8,1876,1508,1867,1574,2091,1892,2013,1931,1598,1900
560,55.9,1875,1489,1867,1572,2097,1890,2004,1929,1596,1921
561,56,1874,1464,1869,1570,2106,1884,1995,1933,1594,1942
562,56.1,1877,1451,1870,1573,2090,1892,1993,1931,1594,1937
563,56.2,1874,1444,1875,1578,2099,1892,1994,1932,1595,1936
564,56.3,1858,1452,1883,1579,2104,1885,1996,1932,1599,1930
565,56.4,1842,1471,1891,1585,2092,1891,1989,1936,1599,1930
566,56.5,1840,1505,1900,1596,2097,1890,1990,1939,1601,1928
567,56.6,1855,1587,1912,1610,2106,1884,1998,1944,1625,1914
568,56.7,1864,1651,1920,1617,2100,1887,1992,1949,1662,1907
569,56.8,1875,1673,1928,1629,2100,1882,1990,1941,1675,1902
570,56.9,1884,1660,1936,1636,2104,1879,1993,1933,1669,1895
571,57,1884,1637,1940,1642,2095,1878,1989,1931,1657,1891
572,57.1,1880,1624,1935,1638,2098,1881,1997,1972,1651,1886
573,57.2,1883,1628,1928,1631,2108,1882,2002,2015,1645,1882
574,57.3,1873,1625,1917,1622,2097,1887,2002,2001,1646,1882
575,57.4,1868,1617,1903,1615,2110,1887,2014,1988,1639,1886
576,57.5,1870,1582,1892,1602,2110,1893,2019,1987,1637,1883
577,57.6,1871,1523,1888,1593,2092,1897,2021,1976,1641,1896
578,57.7,1873,1477,1879,1589,2099,1902,2031,1965,1638,1916
579,57.8,1877,1483,1875,1588,2111,1909,2039,1954,1639,1936
580,57.9,1873,1501,1875,1577,2097,1915,2044,1944,1634,1948
581,58,1858,1521,1874,1575,2104,1921,2054,1942,1632,1959
582,58.1,1851,1540,1871,1575,2116,1925,2053,1937,1628,1968
583,58.2,1844,1557,1871,1578,2093,1929,2062,1933,1629,1970
584,58.3,1836,1570,1867,1578,2100,1928,2062,1937,1628,1970
585,58.4,1833,1567,1870,1578,2110,1924,2059,1940,1625,1968
586,58.5,1830,1560,1867,1577,2097,1919,2049,1934,1623,1967
587,58.6,1824,1557,1862,1578,2107,1916,2035,1930,1622,1956
588,58.7,1819,1579,1867,1575,2112,1913,2019,1932,1619,1941
589,58.8,1805,1608,1866,1577,2096,1907,2011,1926,1620,1915
590,58.9,1800,1607,1867,1578,2099,1910,2002,1930,1619,1899
591,59,1807,1592,1868,1588,2115,1903,1994,1930,1621,1892
592,59.1,1820,1571,1869,1595,2098,1903,1989,1930,1619,1892
593,59.2,1835,1554,1870,1601,2108,1904,1991,1928,1616,1902
594,59.3,1833,1540,1872,1616,2112,1904,1980,1919,1617,1930
595,59.4,1827,1529,1872,1629,2099,1901,1973,1923,1618,1935
596,59.5,1828,1517,1877,1634,2102,1900,1968,1925,1617,1918
597,59.6,1839,1499,1882,1638,2120,1900,1972,1923,1613,1924
598,59.7,1853,1483,1888,1639,2098,1900,1974,1927,1612,1955
599,59.8,1870,1473,1897,1644,2110,1896,1976,1916,1607,1996
600,59.9,1893,1470,1906,1634,2115,1895,1975,1919,1607,2016
601,60,1912,1466,1915,1626,2100,1895,1977,1911,1605,2005
602,60.1,1939,1468,1924,1616,2107,1895,1977,1900,1605,1957
603,60.2,1977,1467,1926,1610,2124,1899,1978,1896,1605,1926
604,60.3,1998,1467,1928,1601,2101,1903,1971,1881,1604,1916
605,60.4,2041,1471,1917,1590,2113,1908,1972,1879,1602,1896
606,60.5,2111,1465,1912,1585,2120,1913,1970,1871,1601,1889
607,60.6,2148,1462,1906,1587,2099,1920,1976,1870,1599,1880
608,60.7,2199,1459,1895,1585,2107,1929,1987,1866,1589,1865
609,60.8,2148,1461,1887,1581,2121,1934,1996,1862,1586,1849
610,60.9,2019,1461,1880,1584,2118,1944,2009,1860,1585,1843
611,61,1996,1463,1878,1582,2116,1951,2019,1863,1587,1843
612,61.1,1987,1463,1880,1579,2124,1953,2029,1868,1591,1844
613,61.2,1994,1464,1878,1576,2099,1951,2035,1872,1602,1853
614,61.3,2042,1465,1876,1574,2113,1942,2042,1872,1631,1855
615,61.4,2015,1466,1878,1579,2124,1937,2044,1879,1657,1863
616,61.5,1996,1471,1872,1585,2105,1933,2054,1879,1698,1875
617,61.6,2006,1470,1871,1595,2131,1930,2058,1897,1732,1890
618,61.7,1999,1486,1868,1603,2127,1928,2064,1925,1724,1911
619,61.8,1984,1528,1866,1620,2103,1927,2063,1943,1709,1905
620,61.9,1975,1580,1865,1626,2113,1921,2055,1959,1699,1895
621,62,1971,1625,1871,1635,2128,1920,2044,1986,1696,1895
622,62.1,1965,1659,1871,1646,2109,1913,2033,1984,1694,1883
623,62.2,1955,1685,1873,1652,2122,1910,2019,1993,1695,1863
624,62.3,1957,1693,1877,1650,2144,1902,2012,2008,1698,1849
625,62.4,1964,1688,1887,1645,2104,1898,2007,2018,1687,1845
626,62.5,1980,1667,1895,1633,2116,1896,2000,2008,1684,1845
627,62.6,2006,1638,1902,1626,2135,1891,1998,1976,1684,1841
628,62.7,2002,1617,1913,1607,2112,1888,1993,1957,1681,1835
629,62.8,1985,1595,1920,1597,2123,1887,1997,1948,1681,1835
630,62.9,1964,1581,1928,1594,2124,1887,1986,1943,1679,1842
631,63,1945,1573,1933,1597,2115,1891,1982,1934,1675,1842
632,63.1,1922,1562,1930,1587,2104,1888,1982,1921,1672,1845
633,63.2,1885,1547,1926,1588,2111,1890,1985,1913,1664,1853
634,63.3,1853,1542,1919,1589,2095,1890,1988,1906,1662,1869
635,63.4,1838,1543,1913,1582,2091,1887,1987,1906,1651,1887
636,63.5,1830,1549,1906,1580,2092,1887,1990,1910,1649,1891
637,63.6,1826,1555,1898,1578,2090,1888,1989,1910,1646,1912
638,63.7,1818,1572,1890,1579,2084,1892,1990,1912,1643,1927
639,63.8,1810,1599,1884,1580,2095,1892,1984,1914,1636,1918
640,63.9,1803,1639,1877,1575,2086,1892,1991,1919,1632,1909
641,64,1817,1672,1875,1580,2083,1890,2007,1923,1625,1901
642,64.1,1821,1713,1875,1587,2091,1889,2020,1923,1624,1884
643,64.2,1832,1754,1873,1590,2093,1884,2038,1927,1626,1880
644,64.3,1842,1791,1872,1596,2085,1871,2056,1933,1628,1882
645,64.4,1837,1829,1875,1611,2093,1863,2069,1934,1629,1883
646,64.5,1840,1863,1874,1621,2087,1866,2078,1935,1616,1875
647,64.6,1847,1895,1872,1628,2085,1867,2082,1940,1601,1873
648,64.7,1853,1915,1869,1637,2092,1868,2092,1944,1597,1865
649,64.8,1861,1901,1872,1644,2094,1866,2092,1944,1600,1849
650,64.9,1870,1872,1874,1646,2085,1864,2090,1946,1596,1841
651,65,1882,1841,1880,1638,2093,1860,2080,1948,1592,1845
652,65.1,1891,1820,1885,1620,2089,1860,2072,1946,1597,1854
653,65.2,1894,1792,1891,1611,2085,1860,2061,1944,1584,1860
654,65.3,1906,1757,1903,1602,2092,1858,2048,1944,1586,1860
655,65.4,1915,1729,1915,1593,2093,1859,2036,1940,1584,1859
656,65.5,1911,1709,1926,1587,2085,1864,2030,1938,1580,1868
657,65.6,1904,1688,1935,1584,2092,1866,2023,1937,1584,1873
658,65.7,1890,1675,1939,1583,2091,1873,2022,1935,1582,1883
659,65.8,1875,1667,1942,1574,2084,1878,2020,1931,1578,1901
660,65.9,1861,1657,1938,1571,2091,1883,2018,1931,1582,1903
661,66,1843,1646,1931,1574,2093,1887,2022,1929,1581,1896
662,66.1,1827,1636,1927,1577,2083,1890,2028,1922,1580,1895
663,66.2,1820,1624,1912,1579,2092,1889,2039,1922,1583,1892
664,66.3,1806,1615,1906,1578,2087,1887,2044,1917,1580,1887
665,66.4,1798,1614,1891,1576,2078,1880,2058,1914,1582,1887
