Sample,Time,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4
100,10,1865,1669,2010,1504,2077,1707,1660,1812,1503,1962
101,10.1,1865,1671,1994,1507,2083,1706,1669,1814,1500,1968
102,10.2,1867,1677,1996,1510,2076,1709,1667,1821,1504,1975
103,10.3,1865,1693,1978,1525,2091,1715,1661,1827,1506,1990
104,10.4,1867,1712,1938,1537,2087,1715,1666,1832,1503,2004
105,10.5,1865,1727,1905,1548,2077,1719,1666,1832,1508,2024
106,10.6,1865,1739,1867,1553,2083,1720,1658,1837,1506,2032
107,10.7,1860,1749,1826,1565,2081,1723,1662,1848,1506,2030
108,10.8,1860,1761,1788,1572,2080,1728,1666,1865,1505,2027
109,10.9,1861,1765,1745,1581,2091,1730,1669,1877,1505,2022
110,11,1867,1762,1696,1593,2089,1735,1665,1900,1512,2017
111,11.1,1872,1750,1643,1610,2078,1738,1666,1914,1511,2010
112,11.2,1875,1735,1577,1606,2084,1738,1664,1923,1513,1997
113,11.3,1880,1726,1536,1590,2085,1741,1672,1926,1515,1991
114,11.4,1888,1716,1497,1576,2078,1735,1682,1930,1514,1981
115,11.5,1893,1695,1484,1567,2089,1728,1687,1937,1521,1972
116,11.6,1894,1689,1509,1562,2087,1724,1692,1945,1520,1964
117,11.7,1899,1684,1533,1555,2082,1718,1698,1950,1521,1959
118,11.8,1909,1682,1525,1541,2085,1715,1698,1956,1516,1953
119,11.9,1923,1685,1508,1526,2089,1714,1701,1958,1514,1949
120,12,1934,1688,1508,1517,2077,1711,1707,1962,1521,1936
121,12.1,1943,1683,1501,1511,2096,1711,1716,1964,1533,1928
122,12.2,1950,1688,1484,1506,2094,1709,1722,1973,1541,1922
123,12.3,1956,1687,1482,1504,2080,1709,1726,1973,1547,1928
124,12.4,1954,1679,1480,1503,2088,1707,1721,1968,1560,1939
125,12.5,1953,1681,1478,1502,2092,1706,1710,1971,1572,1945
126,12.6,1956,1680,1475,1501,2082,1705,1704,1969,1584,1952
127,12.7,1955,1676,1472,1500,2107,1705,1693,1956,1593,1953
128,12.8,1952,1681,1466,1499,2092,1708,1685,1941,1596,1959
129,12.9,1947,1685,1461,1496,2082,1707,1676,1919,1600,1963
130,13,1940,1683,1453,1496,2088,1707,1669,1889,1601,1967
131,13.1,1930,1688,1456,1496,2092,1708,1664,1852,1606,1970
132,13.2,1922,1703,1455,1497,2083,1708,1664,1829,1610,1970
133,13.3,1905,1711,1455,1495,2101,1712,1663,1821,1620,1970
134,13.4,1898,1726,1461,1493,2105,1711,1660,1826,1633,1961
135,13.5,1895,1743,1459,1491,2083,1707,1659,1819,1648,1960
136,13.6,1895,1756,1460,1488,2089,1706,1658,1796,1665,1971
137,13.7,1895,1767,1457,1490,2095,1708,1656,1778,1679,1984
138,13.8,1894,1773,1459,1496,2083,1709,1648,1775,1675,1995
139,13.9,1888,1761,1458,1503,2100,1712,1645,1763,1639,1994
140,14,1889,1755,1458,1510,2097,1717,1653,1755,1619,1989
141,14.1,1888,1741,1462,1526,2087,1721,1670,1755,1601,1985
142,14.2,1880,1723,1460,1540,2089,1726,1700,1750,1588,1970
143,14.3,1877,1716,1466,1562,2094,1727,1731,1748,1578,1958
144,14.4,1876,1725,1466,1580,2084,1732,1757,1739,1567,1957
145,14.5,1878,1736,1466,1586,2103,1731,1764,1736,1556,1956
146,14.6,1879,1777,1467,1586,2100,1733,1770,1744,1547,1958
147,14.7,1877,1809,1462,1580,2085,1734,1772,1753,1540,1960
148,14.8,1879,1838,1467,1568,2094,1732,1776,1778,1524,1955
149,14.9,1879,1875,1473,1555,2093,1732,1780,1802,1516,1952
150,15,1878,1906,1471,1536,2084,1727,1790,1811,1513,1943
151,15.1,1877,1907,1471,1525,2100,1719,1776,1816,1507,1935
152,15.2,1869,1930,1471,1513,2106,1715,1753,1831,1504,1922
153,15.3,1869,1946,1472,1513,2087,1713,1740,1837,1497,1923
